이카운트_품목코드,이카운트_품목명,카페24_매칭명,카페24_상품코드,카페24_품목코드,유사도
(1)302미송계단38300,◈집성계단재 38*300*3600 (미송/라디) T/F,라디에타파인계단재 계단판 38 x 300 x 3600,P0000BFP,P0000BFP000D,71.43
(1)302미송대봉9090,◈라디에타(미송) 대봉(大) 90*90*1200,라디에타파인계단재 대봉 90 x 90 x 1200,P0000BFP,P0000BFP000H,80.95
(1)302미송반달4070,◈핸드레일(미송/라디에타) 반달◐ 40*70*12자,라디에타파인계단재 반달손스침 40 x 70 x 3600,P0000BFP,P0000BFP000J,58.18
(1)302미송소봉4040,◈라디에타(미송) 소봉(小) 40*40*900,라디에타파인계단재 소봉 40 x 40 x 900,P0000BFP,P0000BFP000G,80.0
(1)302미송식빵6070,◈핸드레일(미송/라디에타) 식빵♣ 60*70*12자,라디에타파인계단재 식빵손스침 60 x 70 x 3600,P0000BFP,P0000BFP000K,58.18
(1)302삼목12솔,◈집성(삼목) 1220*2440*12 솔리드,삼나무 집성판솔리드 12T x 1220 x 2440,P0000BEZ,P0000BEZ000A,80.0
(1)302삼목15솔,◈집성(삼목) 1220*2440*15 솔리드,삼나무 집성판솔리드 15T x 1220 x 2440,P0000BEZ,P0000BEZ000B,80.0
(1)302삼목18솔,◈집성(삼목) 1220*2440*18 솔리드,삼나무 집성판솔리드 18T x 1220 x 2440,P0000BEZ,P0000BEZ000C,80.0
(1)302쏘노30300,◈집성(쏘노클린) 30*300*12자 (코팅),쏘노클린계단재 30T x 300 x 3600 코팅,P0000BJH,P0000BJH000A,70.83
(1)302아카15유,◈집성(아카시아) 1220*2440*15 유절 S/F,아카시아 집성판사이드핑거(유절&무절) 15T x 1220 x 2440 (유절),P0000BEU,P0000BEU000A,81.25
(1)302아카18N무,◈집성(아카시아) 1220*2440*18★무절S/F,아카시아 집성판사이드핑거(유절&무절) 18T x 1220 x 2440 (유절),P0000BEU,P0000BEU000B,79.37
(1)302아카18유,◈집성(아카시아) 1220*2440*18 유절 S/F,아카시아 집성판사이드핑거(유절&무절) 18T x 1220 x 2440 (유절),P0000BEU,P0000BEU000B,81.25
(1)302에쉬1848,◈집성(에쉬) 1220*2440*18 S/F,아스펜 집성판사이드핑거 아스펜 S/F 18T x 1220 x 2440,P0000BIN,P0000BIN000A,78.57
(1)302오동12솔,◈집성(오동나무) 1000*2000*12 솔리드,오동나무 집성판솔리드 12T x 1000 x 2000,P0000BTE,P0000BTE000A,86.79
(1)500다크브201328,◈합성목재 20*140*2400 (8자) 다크브라운,브라운 애쉬 집성판솔리드 20 x 1000 x 2400,P0000BLA,P0000BLA000G,65.45
(1)500도장피스838,◈합성목재 도장직결피스(8*38) [500개] 다크브라운,윙스크류 양날피스 8 x 38 (500pcs),P0000BMA,P0000BMA000C,53.85
(1)500미들클립20,◈합성목재 미들클립(20T) [100개] 블랙,"합성목재(WPC)브라운,체리,그레이방부목 대체품 합성목재 미들클립",P0000BSR,P0000BSR000H,60.0
(1)500스타트클립20,◈합성목재 스타트클립(20T) [50개] 블랙,"합성목재(WPC)브라운,체리,그레이방부목 대체품 합성목재 스타트클립",P0000BSR,P0000BSR000I,64.52
(1)500아티론,◈합성목재 연결보조제(아티론) [100개],"합성목재(WPC)브라운,체리,그레이방부목 대체품 아티론 (연결보조제)",P0000BSR,P0000BSR000L,84.85
(1)500클립피스820,◈합성목재 클립전용피스(8*20) [500개],윙스크류 양날피스 8 x 25 (500pcs),P0000BMA,P0000BMA000A,56.52
(1)502백스페,◈백색 스페이스월(1220*2440)[쫄대포함],스페이스 월18T x 1220 x 2440mm 스페이스월 (쫄대포함),P0000BHR,P0000BHR000A,80.95
(1)503스카이비바,◈스카이비바 24K 50T*450*1000,KCC/벽산 그라스울 (1봉지/28장)24K 50 x 450 x 1000 24K 50 x 450 x 1000,P0000BLR,P0000BLR000D,73.68
(1)503차음시트기본,◈차음시트 2T 접착 1000*1000,차음시트 2T1000 x 1000단면점착 차음시트 2T 1000 x 1000,P0000CHD,P0000CHD000A,90.32
(1)503타공라메9,◈타공판/라인/메이플/방염 1184*2400*9T,라인 타공판9T x 1184 x 2400방염 타공판/라인/메이플,P0000BVG,P0000BVG000B,86.21
(1)503타공원메9,◈타공판/원형/메이플/방염 1200*2400*9T,"단타공흡음패널, 원형 타공판9T x 1200 x 2400방염 타공판/원형/메이플",P0000BVF,P0000BVF000E,75.76
(1)60010그라스울기본,◈(28장★벽산) 그라스울 24K50*450*1m,KCC/벽산 그라스울 (1봉지/28장)24K 50 x 450 x 1000 24K 50 x 450 x 1000,P0000BLR,P0000BLR000D,79.37
(1)60011아이소101호,◈아이소핑크 1호 10T 3*6,단열재 아이소핑크/압출법보온판  10T x 900 x 1800,P0000BND,P0000BND000G,75.86
(1)60011이보드13도배,◈이보드 13T 900*2400 (도배용),단열재이보드(도배용 & 페인트용) 13T x 900 x 2400 (도배용),P0000BHC,P0000BHC000A,90.0
(1)60012아이소20특,◈아이소핑크 특호 20T 3*6,단열재 아이소핑크/압출법보온판  20T x 900 x 1800,P0000BND,P0000BND000H,75.86
(1)60012이보드23도배,◈이보드 23T 900*2400 (도배용),단열재이보드(도배용 & 페인트용) 23T x 900 x 2400 (도배용),P0000BHC,P0000BHC000B,90.0
(1)60013아이소30특,◈아이소핑크 특호 30T 3*6,단열재 아이소핑크/압출법보온판  30T x 900 x 1800,P0000BND,P0000BND000I,75.86
(1)60013이보드33도배,◈이보드 33T 900*2400 (도배용),단열재이보드(도배용 & 페인트용) 33T x 900 x 2400 (도배용),P0000BHC,P0000BHC000C,90.0
(1)60014아이소50특,◈아이소핑크 특호 50T 3*6,단열재 아이소핑크/압출법보온판  50T x 900 x 1800,P0000BND,P0000BND000J,75.86
(1)60015아이소100특,◈아이소핑크 특호 100T 3*6,단열재 아이소핑크/압출법보온판  100T x 900 x 1800,P0000BND,P0000BND000K,77.42
(1)6001열반사10양,◈열반사단열재 10T 양면/은/접착(25M),단열재열반사 단열재 (6T/10T) 은박 10T 양면 접착 (25m),P0000BIB,P0000BIB000B,76.92
(1)6001열반사6양,◈열반사단열재 6T 양면/은/접착(50M),단열재열반사 단열재 (6T/10T) 은박 6T 단면 접착 (50m),P0000BIB,P0000BIB000A,70.59
(1)6002열반사10양,◈열반사단열재 10T 양면/★동/접착(25M),단열재열반사 단열재 (6T/10T) 은박 10T 양면 접착 (25m),P0000BIB,P0000BIB000B,74.29
(1)6002열반사6양,◈열반사단열재 6T 양면/★동/접착(50M),단열재열반사 단열재 (6T/10T) 은박 6T 단면 접착 (50m),P0000BIB,P0000BIB000A,66.67
(1)600LXPF301800N,◈LX Z:IN PF보드 30T 1000*1800 [1면 준불연],프리미엄 단열재 PF보드LX지인 30T x 1000 x 1800,P0000CHJ,P0000CHJ000A,64.71
(1)600LXPF501800N,◈LX Z:IN PF보드 50T 1000*1800 [1면 준불연],프리미엄 단열재 PF보드LX지인 50T x 1000 x 1800,P0000CHJ,P0000CHJ000B,64.71
(1)600LXPF901800N,◈LX Z:IN PF보드 90T 1000*1800 [1면 준불연],프리미엄 단열재 PF보드LX지인 90T x 1000 x 1800,P0000CHJ,P0000CHJ000C,64.71
(1)600이보드13페,◈이보드 13T 900*2400 (페인트용),단열재이보드(도배용 & 페인트용) 13T x 900 x 2400 (도배용),P0000BHC,P0000BHC000A,90.48
