ecount_prod_cd,ecount_prod_des,cafe24_product_no,cafe24_product_code,cafe24_product_name,similarity_score,ecount_out_price2
(1)800실타618,◈실타카핀 618,913,P0000BJD,"6단위<br>실타카핀(615,618,625,630)",77.14,5600.0000000000
(1)800실타625,◈실타카핀 625,913,P0000BJD,"6단위<br>실타카핀(615,618,625,630)",77.14,6000.0000000000
(1)800실타630,◈실타카핀 630,913,P0000BJD,"6단위<br>실타카핀(615,618,625,630)",64.29,6700.0000000000
(1)800쓰레받,◈PVC 쓰레받이,1239,P0000BVR,"PVC 몰딩<br>2계단,마이너스<br>백색",54.0,9000.0000000000
(1)800씽크경유15,◈씽크경첩 (15T / ★유압) OUT,985,P0000BLX,씽크경첩 110도 18T 일반 / 유압,59.26,1800.0000000000
(1)800씽크경유18,◈씽크경첩 (18T / ★유압),985,P0000BLX,씽크경첩 110도 18T 일반 / 유압,75.0,1800.0000000000
(1)800씽크경일15,◈씽크경첩 (15T / 일반),985,P0000BLX,씽크경첩 110도 18T 일반 / 유압,66.67,1200.0000000000
(1)800씽크경일18,◈씽크경첩 (18T / 일반),985,P0000BLX,씽크경첩 110도 18T 일반 / 유압,75.0,1200.0000000000
(1)800씽크경피스,◈씽크경첩피스 (4.0*16),985,P0000BLX,씽크경첩 110도 18T 일반 / 유압,60.0,20.0000000000
(1)800아연피스25,◈아연피스 25mm (목재용/1000개),929,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,42.42,9100.0000000000
(1)800아연피스32,◈아연피스 32mm (목재용/1000개),929,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,42.42,9700.0000000000
(1)800아연피스38,◈아연피스 38mm (목재용/500개),929,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,43.75,5500.0000000000
(1)800아연피스50,◈아연피스 50mm (목재용/500개),929,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,43.75,7800.0000000000
(1)800아연피스65,◈아연피스 65mm (목재용/300개),929,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,43.75,8200.0000000000
(1)800아연피스75,◈아연피스 75mm (목재용/300개),929,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,43.75,10200.0000000000
(1)800아연피스90,◈아연피스 90mm (목재용/200개),842,P0000BGK,목공용 본드 205,48.0,11600.0000000000
(1)800액자레일2,◈액자레일-백색 (2M),1425,P0000CCV,렉스판 프로파일<br>H조이너<br>PVC 백색,36.0,6000.0000000000
(1)800에어건,◈에어건 [자석] ☞(총)☞,902,P0000BIS,제일타카 1850A<br>타카총/에어타카,36.0,7300.0000000000
(1)800엘가이드,◈행가레일 엘가이드,1400,P0000CBW,"행거레일<br>댐퍼형(30kg,50kg,80kg)",45.0,5000.0000000000
(1)800오메가12,◈오메가레일 12자,1279,P0000BXF,오크 핸드레일<br>40x70x3600 반달<br>60x70x3600 식빵,38.57,12300.0000000000
(1)800오메가7,◈오메가레일 7자,1279,P0000BXF,오크 핸드레일<br>40x70x3600 반달<br>60x70x3600 식빵,41.54,7100.0000000000
(1)800오메가8,◈오메가레일 8자,1279,P0000BXF,오크 핸드레일<br>40x70x3600 반달<br>60x70x3600 식빵,41.54,8200.0000000000
(1)800오메가9,◈오메가레일 9자,1279,P0000BXF,오크 핸드레일<br>40x70x3600 반달<br>60x70x3600 식빵,41.54,9400.0000000000
(1)800오목손사각,◈오목이 사각 니켈 [매립형 손잡이],967,P0000BLF,목다보,36.0,2400.0000000000
(1)800오목손은,◈오목손잡이(은색),967,P0000BLF,목다보,36.0,2000.0000000000
(1)800오목손타원,◈오목이 타원형 실버 [매립형 손잡이],967,P0000BLF,목다보,36.0,2400.0000000000
(1)800오일116투명,◈오일스텐 16L [말통] (투명)○○,1245,P0000BVX,오일스테인 [외부용],31.58,81800.0000000000
(1)800오일135투명,◈오일스텐 3.5L (투명)○○,1683,P0000CMT,마감용 구조재 인테리어등급<BR>2” X 10” (38mm X 235mm) / 투텐,36.0,22000.0000000000
(1)800오일16도토리,◈오일스텐 16L [말통] (도토리),1245,P0000BVX,오일스테인 [외부용],49.09,81800.0000000000
(1)800오일16밤색,◈오일스텐 16L [말통] (밤색),1245,P0000BVX,오일스테인 [외부용],31.58,81800.0000000000
(1)800오일16월넛,◈오일스텐 16L [말통] (월넛),1245,P0000BVX,오일스테인 [외부용],31.58,81800.0000000000
(1)800오일16코코넛,◈오일스텐 16L [말통] (코코넛),1245,P0000BVX,오일스테인 [외부용],49.09,81800.0000000000
(1)800오일16티크,◈오일스텐 16L [말통] (티크),1245,P0000BVX,오일스테인 [외부용],31.58,81800.0000000000
(1)800오일16흑단,◈오일스텐 16L [말통] (흑단),1245,P0000BVX,오일스테인 [외부용],31.58,81800.0000000000
(1)800오일16흑색,◈오일스텐 16L [말통] (흑색),1245,P0000BVX,오일스테인 [외부용],31.58,81800.0000000000
(1)800오일35다크오렌,◈오일스텐 3.5L (다크오렌지),1245,P0000BVX,오일스테인 [외부용],49.09,22000.0000000000
(1)800오일35도토리,◈오일스텐 3.5L (도토리),1417,P0000CCN,한솔 스토리월<br>9T x 390 x 790<br>유광,36.0,22000.0000000000
(1)800오일35레드와인,◈오일스텐 3.5L (레드와인),1245,P0000BVX,오일스테인 [외부용],42.11,22000.0000000000
(1)800오일35마호가니,◈오일스텐 3.5L (마호가니),1414,P0000CCK,마호가니 벤치목 4R<br>45x90x1500/1800,48.0,22000.0000000000
(1)800오일35밝은오크,◈오일스텐 3.5L (밝은오크),1245,P0000BVX,오일스테인 [외부용],31.58,22000.0000000000
(1)800오일35밤색,◈오일스텐 3.5L (밤색),1245,P0000BVX,오일스테인 [외부용],35.29,22000.0000000000
(1)800오일35살구색,◈오일스텐 3.5L (살구색),1245,P0000BVX,오일스테인 [외부용],33.33,22000.0000000000
(1)800오일35연녹색,◈오일스텐 3.5L (연녹색),1245,P0000BVX,오일스테인 [외부용],33.33,22000.0000000000
(1)800오일35연밤색,◈오일스텐 3.5L (연밤색),1245,P0000BVX,오일스테인 [외부용],33.33,22000.0000000000
