ecount_prod_cd,ecount_prod_des,ecount_out_price2,ecount_prev_price,cafe24_product_code,cafe24_product_name,cafe24_product_no,매칭상태,최종업데이트
(2)300SK자작상도948,자작 합판 9T (S/BB) UV상도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
(2)300SK자작상도1248,자작 합판 12T (S/BB) UV상도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
(2)300SK자작상도1548,자작 합판 15T (S/BB) UV상도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
(2)300SK자작상도1848,자작 합판 18T (S/BB) UV상도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
,라치 데크재 21 x 95 x 3000,,,,,,실패,
,라치 데크재 21 x 95 x 3300,,,,,,실패,
,라치 데크재 21 x 95 x 3600,,,,,,실패,
,라치 데크재 21 x 95 x 3900,,,,,,실패,
,라치 데크재 21 x 120 x 3000,,,,,,실패,
,라치 데크재 21 x 120 x 3300,,,,,,실패,
,라치 데크재 21 x 120 x 3600,,,,,,실패,
,라치 데크재 21 x 120 x 3900,,,,,,실패,
(1)800접착G3원,원평 G3 본드 (15kg),,,P0000BVW,몰탈 접착 증강제 G-3 본드 (15kg),,성공,
(1)800접착G2원,원평 G2 본드 (10kg),,,P0000BVV,단열 보드 접착제 G-2 본드 (10kg),,성공,
(1)800접착G1원,원평 G1 본드 (18L),,,P0000BVU,보드 합지 접착제 G-1 본드 (18L),,성공,
(1)800타카T50,C50 (T50),,,P0000BVS,"C타카핀타카핀(C50,C57,C64)",,성공,
(1)800타카T57,C57 (T57),,,P0000BVS,"C타카핀타카핀(C50,C57,C64)",,성공,
(1)800타카T64,C64 (T64),,,P0000BVS,"C타카핀타카핀(C50,C57,C64)",,성공,
(2)503제일타공라자9,타공판/라인/자작,,,P0000BVF,"단타공흡음패널, 원형 타공판9T x 1200 x 2400방염",,성공,
(1)503타공라메9,타공판/라인/메이플,,,P0000BVF,"단타공흡음패널, 원형 타공판9T x 1200 x 2400방염",,성공,
(2)503소음타공라오9,타공판/라인/오크,,,P0000BVF,"단타공흡음패널, 원형 타공판9T x 1200 x 2400방염",,성공,
(2)503제일타공원자9,타공판/원형/자작,,,P0000BVF,"단타공흡음패널, 원형 타공판9T x 1200 x 2400방염",,성공,
(1)503타공원메9,타공판/원형/메이플,,,P0000BVF,"단타공흡음패널, 원형 타공판9T x 1200 x 2400방염",,성공,
(2)503제일타공원오9,타공판/원형/오크,,,P0000BVF,"단타공흡음패널, 원형 타공판9T x 1200 x 2400방염",,성공,
(2)503씨에타공원화,타공판/원형/화이트오크,,,P0000BVF,"단타공흡음패널, 원형 타공판9T x 1200 x 2400방염",,성공,
(2)503소음타공원백9,타공판/원형/백색,,,P0000BVF,"단타공흡음패널, 원형 타공판9T x 1200 x 2400방염",,성공,
